ID,Nome do Experimento,Área de Conhecimento,Grupo da Área,Status,Português,Inglês,Espanhol,Web,Android,iOS,Link
108,Perda de Carga Distribuída,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",MECÂNICA DOS FLUIDOS,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=108
109,Jatos Livres,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",MECÂNICA DOS FLUIDOS,Disponível,Sim,Sim,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=109
110,Determinação da Viscosidade de Fluidos,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",MECÂNICA DOS FLUIDOS,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=110
111,Agregados - Composição Granulométrica,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=111
113,Massa Unitária e Volume de Vazios,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=113
114,Agregado Miúdo - Determinação da Massa Específica,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=114
115,Elementos de Máquinas,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA",PRÁTICAS ESPECÍFICAS DE ENG. MECÂNICA E PRODUÇÃO,Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=115
116,Caracterização de Solos em Laboratório - Determinação da Umidade Natural,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=116
117,Classificação dos Solos,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=117
118,Agregado Miúdo - Determinação de Impurezas Orgânicas,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Não,Não,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=118
119,Execução do Traço do Concreto,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=119
120,Preparação de Argamassas,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=120
121,Ensaio de Abatimento do Tronco de Cone - Slump Test,"ENGENHARIAS, COMPUTAÇÃO E ARQUITETURA","PRÁTICAS ESPECÍFICAS DE ENG. CIVIL, GEOLOGIA E ARQUITETURA",Disponível,Sim,Sim,Sim,Sim,Não,Não,https://www.virtuaslab.net/ua-labs/launcher.php?produto=ualabid&ualabid=121
